Date,Time,Visitors in Blue Lagoon,Visitors in Machu Picchu,Visitors in Taj Mahal,Visitors in Doge's Palace,Visitors in Louvre Museum,Average Age - Blue Lagoon,Average Age - Machu Picchu,Average Age - Taj Mahal,Average Age - Doge's Palace,Average Age - Louvre Museum
2022-01-26,8:00,4041,3498,33791,5835,26712,30,27,28,21,46
2022-01-26,10:00,4472,3497,32931,5638,28203,26,35,32,28,42
2022-01-26,12:00,4266,3526,63510,5746,28455,27,31,31,28,38
2022-01-26,14:00,4251,3682,60202,3429,27392,30,35,32,29,30
2022-01-26,16:00,3993,2667,39447,3991,28771,29,22,33,43,34
2022-01-26,18:00,3674,3091,40688,3836,25541,28,29,31,45,49
2022-01-27,8:00,3427,3493,32389,5621,23266,24,22,27,28,50
2022-01-27,10:00,4528,3344,30327,3937,24649,23,27,33,21,50
2022-01-27,12:00,4969,3137,36004,4288,28587,30,31,26,30,41
2022-01-27,14:00,4628,2842,62931,5587,27937,31,28,30,24,51
2022-01-27,16:00,4736,3709,67777,5587,27686,34,30,27,43,44
2022-01-27,18:00,4101,3549,28197,5700,27619,32,32,29,37,36
2022-01-28,8:00,3947,3415,29930,5713,20498,35,34,32,24,40
2022-01-28,10:00,4863,3427,39774,5703,27157,31,24,28,26,28
2022-01-28,12:00,4617,3572,43087,5136,27332,28,33,27,21,28
2022-01-28,14:00,3769,3057,37339,4605,25985,33,24,29,25,49
2022-01-28,16:00,3894,3339,64282,5588,22589,22,30,24,33,52
2022-01-28,18:00,4560,3435,62511,4699,27176,22,22,32,42,49
2022-01-29,8:00,3225,2938,43708,5786,23034,24,23,23,28,47
2022-01-29,10:00,4632,2713,30811,3413,26831,29,28,27,19,34
2022-01-29,12:00,3900,3284,42243,5321,20169,26,29,26,20,52
2022-01-29,14:00,3416,3293,34546,5308,28337,22,22,30,24,35
2022-01-29,16:00,4551,3631,29986,5685,29239,24,32,32,35,39
2022-01-29,18:00,4436,3484,68338,5530,29415,25,34,23,36,31
2022-01-30,8:00,4373,3464,62911,5718,29568,26,33,26,22,53
2022-01-30,10:00,4646,3533,29734,5511,29216,25,28,29,19,31
2022-01-30,12:00,4269,3550,36680,5279,26426,34,26,25,21,29
2022-01-30,14:00,3517,3263,33759,4383,23484,22,22,28,25,35
2022-01-30,16:00,3509,2842,30385,4200,24835,24,26,31,34,28
2022-01-30,18:00,3798,3438,39111,3436,21841,29,29,34,36,40
2022-01-31,8:00,3466,3374,64736,5726,26878,25,25,28,23,39
2022-01-31,10:00,4638,3551,61802,4404,24552,24,34,30,24,35
2022-01-31,12:00,3845,2657,36155,5805,26844,27,28,33,26,46
2022-01-31,14:00,4490,3088,36120,4681,22854,34,30,34,29,28
2022-01-31,16:00,3822,3545,34616,5579,29026,22,27,26,36,33
2022-01-31,18:00,4049,3742,42257,5634,27325,22,23,34,35,29
2022-02-01,8:00,4164,3624,42486,5759,0,23,34,30,20,0
2022-02-01,10:00,4870,3712,65534,5974,0,25,26,24,29,0
2022-02-01,12:00,4659,3502,64061,3672,0,28,24,32,29,0
2022-02-01,14:00,4624,3418,44646,3311,0,22,30,32,19,0
2022-02-01,16:00,3227,3358,42075,5045,0,24,25,25,44,0
2022-02-01,18:00,3019,3665,37208,4854,0,35,34,33,43,0
2022-02-02,8:00,3605,2587,44371,3582,25380,25,32,24,30,39
2022-02-02,10:00,4837,3382,39835,3216,21146,32,35,30,25,38
2022-02-02,12:00,4998,2802,62049,5992,24326,34,25,23,21,44
2022-02-02,14:00,3470,3634,65423,5096,28997,24,27,27,29,39
2022-02-02,16:00,4959,3569,42589,5985,28684,25,27,23,39,46
2022-02-02,18:00,4391,3534,35158,5905,27720,32,33,31,30,54
2022-02-03,8:00,5134,3449,38248,5616,26111,28,25,23,23,29
2022-02-03,10:00,4562,3739,35400,5542,29855,26,29,34,25,34
2022-02-03,12:00,4909,3746,37874,4079,26592,25,24,25,26,31
2022-02-03,14:00,4677,3145,62255,5614,27413,26,31,31,28,35
2022-02-03,16:00,4985,3546,61154,5018,28179,23,28,29,43,36
2022-02-03,18:00,4033,3148,32499,4772,21238,24,31,27,43,27
2022-02-04,8:00,3516,2744,34295,4848,21783,24,32,25,26,52
2022-02-04,10:00,3137,3308,40183,3843,25983,30,23,23,29,41
2022-02-04,12:00,4530,3324,40874,4559,22794,35,27,25,19,43
2022-02-04,14:00,4651,3298,33539,3535,28414,28,29,24,26,47
2022-02-04,16:00,3550,3420,69637,5968,28129,24,32,32,40,54
2022-02-04,18:00,4110,3489,64199,5909,28853,26,22,33,37,49
2022-02-05,8:00,4124,3695,43586,5876,28869,27,29,30,28,30
2022-02-05,10:00,4091,3511,30557,5727,28400,30,27,28,28,49
2022-02-05,12:00,3608,3700,33592,3346,27099,22,26,28,19,42
2022-02-05,14:00,4720,3088,44482,3321,23598,27,30,33,23,28
2022-02-05,16:00,4948,2676,30200,3280,23803,23,31,32,32,42
2022-02-05,18:00,4783,2842,62961,5672,21526,33,28,28,32,41
2022-02-06,8:00,3760,3300,64973,5909,27909,33,35,24,24,39
2022-02-06,10:00,3639,3257,39969,5622,21969,24,30,29,29,48
2022-02-06,12:00,4775,3128,30869,5310,22437,27,28,30,30,53
2022-02-06,14:00,3591,3600,41992,3703,26951,28,28,28,27,47
2022-02-06,16:00,4961,3427,33699,5655,27502,33,23,29,45,48
2022-02-06,18:00,4731,3424,31987,5948,26371,31,35,27,30,39
2022-02-07,8:00,4868,3457,69719,5927,29336,33,32,24,22,49
2022-02-07,10:00,4878,3696,66015,5855,28311,27,28,32,20,46
2022-02-07,12:00,3632,3533,41446,4644,26109,35,26,32,28,49
2022-02-07,14:00,4246,2830,29218,4545,29386,27,24,23,25,38
2022-02-07,16:00,3644,3448,32735,5927,22354,30,30,24,32,54
2022-02-07,18:00,3765,3049,39296,4389,25319,25,35,30,39,42
2022-02-08,8:00,3248,3401,32555,4820,0,32,30,32,30,0
2022-02-08,10:00,3661,3440,69146,5944,0,32,35,25,21,0
2022-02-08,12:00,3789,3274,68050,4872,0,33,25,34,27,0
2022-02-08,14:00,3535,3153,40757,5708,0,32,22,31,28,0
2022-02-08,16:00,4581,3721,34893,5958,0,33,29,29,30,0
2022-02-08,18:00,4745,3567,42373,5688,0,34,35,33,30,0
2022-02-09,8:00,5067,3658,42565,5963,26098,28,26,26,22,34
2022-02-09,10:00,3958,3772,31436,5899,27362,26,22,27,30,28
2022-02-09,12:00,3945,3754,68754,5878,26810,31,22,32,20,28
2022-02-09,14:00,3392,3424,65895,4225,25916,29,24,28,27,50
2022-02-09,16:00,4639,3163,44609,5611,23337,29,23,32,33,49
2022-02-09,18:00,4600,3030,43636,3271,27252,29,26,32,42,36
2022-02-10,8:00,3555,3345,35022,4650,22699,26,28,26,20,37
2022-02-10,10:00,4884,3459,37151,5885,25917,26,29,26,26,52
2022-02-10,12:00,4369,2740,33600,4393,27517,22,28,32,29,49
2022-02-10,14:00,3677,3383,67996,5704,27019,32,32,29,23,54
2022-02-10,16:00,4027,3780,69007,5812,29025,35,26,27,39,49
2022-02-10,18:00,4489,3743,40946,5836,29799,31,29,23,39,47
2022-02-11,8:00,4252,3636,32642,5986,22290,25,33,32,25,42
2022-02-11,10:00,4007,3434,39312,5971,29615,29,29,34,24,50
2022-02-11,12:00,3885,3589,35679,5442,29528,28,29,28,28,34
2022-02-11,14:00,4050,2500,36208,4211,23886,35,22,32,24,43
2022-02-11,16:00,3310,3495,67339,5640,26231,31,26,33,40,49
2022-02-11,18:00,3819,3352,69435,4498,25182,22,23,28,45,50
2022-02-12,8:00,3992,2928,38716,3206,25578,25,29,26,21,52
2022-02-12,10:00,3249,3444,31444,4104,27270,25,28,28,27,36
2022-02-12,12:00,3837,3707,38757,5228,26729,32,28,29,28,49
2022-02-12,14:00,4357,2625,42434,5813,28865,25,22,29,21,42
2022-02-12,16:00,3787,3744,29060,5603,28979,33,32,33,44,36
2022-02-12,18:00,4195,3799,62327,5841,27659,23,35,31,30,44
2022-02-13,8:00,4966,3625,63420,5837,29340,32,34,30,27,36
2022-02-13,10:00,4269,3620,28301,5560,27917,32,34,31,29,41
2022-02-13,12:00,4909,3610,40468,5846,26633,33,23,24,22,41
2022-02-13,14:00,3113,3224,44990,3969,20796,22,28,27,26,33
2022-02-13,16:00,3805,3027,28699,5489,21957,23,29,26,39,45
2022-02-13,18:00,3496,2681,28190,4766,23066,35,24,32,30,32
2022-02-14,8:00,4829,2998,60980,5788,22680,30,35,32,28,49
2022-02-14,10:00,3768,3241,62975,4685,24441,35,30,32,24,28
2022-02-14,12:00,4387,3414,34102,4640,22948,28,27,29,28,33
2022-02-14,14:00,4031,2980,29816,3965,26356,24,32,24,19,33
2022-02-14,16:00,3409,3735,28569,5883,29731,28,23,27,38,39
2022-02-14,18:00,3615,3635,33442,5890,27101,23,35,29,39,48
2022-02-15,8:00,4967,3759,29895,5883,0,33,33,23,27,0
2022-02-15,10:00,4701,3433,62733,5786,0,31,31,25,22,0
2022-02-15,12:00,4969,3744,63863,3887,0,23,33,23,21,0
2022-02-15,14:00,3271,3392,40913,4349,0,28,31,30,30,0
2022-02-15,16:00,3469,2544,35455,3246,0,22,35,28,44,0
2022-02-15,18:00,3086,3220,32014,5172,0,35,25,27,40,0
2022-02-16,8:00,3265,3133,39093,5866,20981,22,27,24,23,30
2022-02-16,10:00,4079,2569,31009,3663,29457,31,22,26,28,27
2022-02-16,12:00,3267,3363,67806,5774,25170,31,30,34,26,31
2022-02-16,14:00,4416,3247,60154,5072,26743,25,33,26,22,34
2022-02-16,16:00,4278,3438,38729,5622,29842,33,32,28,44,33
2022-02-16,18:00,4579,3686,29409,5973,28883,22,23,25,41,47
2022-02-17,8:00,5002,3409,40249,5633,28431,22,29,32,29,53
2022-02-17,10:00,4573,3429,28784,5606,26374,31,28,25,25,39
2022-02-17,12:00,4791,3643,36096,4040,27753,35,32,28,25,33
2022-02-17,14:00,4632,2773,67560,5549,26349,30,29,32,23,34
2022-02-17,16:00,3707,3799,67343,5854,23897,27,31,31,32,33
2022-02-17,18:00,4760,3255,35206,5003,27548,32,29,25,37,52
2022-02-18,8:00,4866,2880,33801,3222,21529,33,30,25,19,37
2022-02-18,10:00,3636,3528,44921,3765,21991,31,26,34,27,37
2022-02-18,12:00,4325,2978,33986,5109,22928,28,25,27,19,44
2022-02-18,14:00,4085,2514,38647,4164,27334,30,29,34,27,38
2022-02-18,16:00,3993,3403,68716,5734,29446,34,32,31,36,34
2022-02-18,18:00,4021,3590,66971,5983,28679,35,31,28,45,48
2022-02-19,8:00,4374,3567,40323,5558,26591,33,26,34,26,54
2022-02-19,10:00,4077,3408,32780,5663,22494,33,35,25,27,33
2022-02-19,12:00,4525,3508,30368,4994,27065,24,24,25,30,44
2022-02-19,14:00,3319,2636,40039,4025,22569,35,28,24,28,49
2022-02-19,16:00,4966,2653,34655,3415,22872,27,29,29,44,34
2022-02-19,18:00,4514,2887,68173,5682,29368,34,25,31,32,39
2022-02-20,8:00,3687,3408,64495,3856,21335,30,26,28,21,42
2022-02-20,10:00,4384,2771,38893,4313,25413,26,32,31,19,41
2022-02-20,12:00,4896,2642,41403,5187,20899,22,29,32,21,41
2022-02-20,14:00,2877,3268,41121,3510,26597,34,24,30,27,29
2022-02-20,16:00,4261,3646,38966,5544,26112,29,23,31,38,35
2022-02-20,18:00,5017,3660,28853,5959,29772,26,25,28,30,49
2022-02-21,8:00,4040,3675,64146,5756,27135,32,22,25,22,30
2022-02-21,10:00,5163,3478,63769,5520,27198,32,28,30,23,41
2022-02-21,12:00,4061,3545,44958,4756,27845,25,28,33,25,37
2022-02-21,14:00,3811,3122,37907,3251,22996,25,30,30,23,50
2022-02-21,16:00,3716,3724,32777,4561,21987,24,33,27,44,39
2022-02-21,18:00,4315,3271,43338,4394,24829,34,32,28,45,51
2022-02-22,8:00,4990,3437,30491,4848,0,27,34,28,22,0
2022-02-22,10:00,3808,3120,63124,5799,0,23,22,23,28,0
2022-02-22,12:00,3205,3529,65691,3871,0,34,24,30,28,0
2022-02-22,14:00,3880,2688,31051,3977,0,24,23,24,22,0
2022-02-22,16:00,4094,3494,43979,5819,0,34,26,32,42,0
2022-02-22,18:00,3870,3504,44388,5731,0,33,32,25,43,0
2022-02-23,8:00,4410,3407,28876,5962,27236,27,30,34,28,39
2022-02-23,10:00,4158,3466,32142,5824,26623,30,33,24,30,54
2022-02-23,12:00,3698,3590,66966,5567,29156,27,33,27,30,32
2022-02-23,14:00,3725,3565,67079,4729,23389,33,26,30,19,45
2022-02-23,16:00,3393,3267,35987,5275,23417,31,29,24,31,34
2022-02-23,18:00,4380,3020,34799,5172,23928,23,30,34,37,50
2022-02-24,8:00,3195,3316,32465,4274,29847,34,24,25,21,36
2022-02-24,10:00,3969,2766,41417,4916,29458,29,25,23,19,36
2022-02-24,12:00,4880,3110,36311,4483,22945,22,29,27,30,37
2022-02-24,14:00,4223,2984,60830,5578,27160,26,26,23,27,48
2022-02-24,16:00,4745,3697,65177,5772,28294,32,31,34,36,34
2022-02-24,18:00,4479,3796,42262,5607,26440,33,23,24,33,31
2022-02-25,8:00,4837,3563,36308,5950,29930,29,23,32,21,47
2022-02-25,10:00,4344,3775,33949,5573,28092,30,33,24,20,35
2022-02-25,12:00,4282,3540,29150,4201,28705,34,35,34,28,29
2022-02-25,14:00,4756,2767,29931,5431,23759,24,24,28,29,45
2022-02-25,16:00,3214,3048,69204,5522,25112,25,25,34,42,48
2022-02-25,18:00,4642,3273,61664,5376,20553,24,22,29,44,52
2022-02-26,8:00,3567,3007,29081,5538,24904,31,26,25,27,28
2022-02-26,10:00,3837,2572,44896,5055,21378,32,28,32,29,53
2022-02-26,12:00,3652,3507,41407,3700,21112,24,29,27,29,31
2022-02-26,14:00,4436,2698,35805,5433,28777,33,33,27,26,39
2022-02-26,16:00,3899,3529,33237,5978,29068,23,32,32,32,41
2022-02-26,18:00,3604,3645,60559,5558,29001,28,30,26,43,27
2022-02-27,8:00,3830,3711,63672,5991,29299,35,32,25,29,31
2022-02-27,10:00,4824,3459,40775,5500,27833,31,27,31,24,32
2022-02-27,12:00,5025,3678,44244,5714,23568,35,24,30,19,53
2022-02-27,14:00,3811,3686,41184,5532,21314,23,22,34,26,44
2022-02-27,16:00,4449,3352,31343,3800,23493,30,29,31,45,45
2022-02-27,18:00,3785,2650,41500,4640,28290,34,22,29,35,48
2022-02-28,8:00,3368,3168,64070,5599,27473,30,31,33,25,47
2022-02-28,10:00,3960,3405,69662,3388,27015,32,30,26,28,33
2022-02-28,12:00,3991,3485,44964,4188,29671,35,32,32,21,50
2022-02-28,14:00,4199,2678,43125,5081,27159,26,27,32,26,33
2022-02-28,16:00,2951,3596,36130,5887,27614,35,26,26,42,37
2022-02-28,18:00,4615,3622,29679,5740,26300,28,28,31,40,27
2022-03-01,8:00,3823,3488,31506,5769,0,28,22,34,23,0
2022-03-01,10:00,4103,3686,67253,5997,0,22,28,26,24,0
2022-03-01,12:00,5173,3675,62744,4954,0,32,28,25,23,0
2022-03-01,14:00,3243,3247,37435,5664,0,32,30,27,27,0
2022-03-01,16:00,3896,2682,39310,5423,0,24,24,26,44,0
2022-03-01,18:00,3303,3408,41296,3586,0,22,27,29,33,0
2022-03-02,8:00,4464,2992,41245,4694,29196,34,33,34,28,44
2022-03-02,10:00,4129,2629,39151,4052,28668,23,23,25,22,35
2022-03-02,12:00,4042,3164,66617,5732,25431,31,25,23,30,52
2022-03-02,14:00,3550,3212,62479,5910,27135,32,22,25,26,33
2022-03-02,16:00,4945,3521,32452,5951,28908,35,22,29,43,54
2022-03-02,18:00,3622,3758,33881,5776,21162,22,25,29,30,31
2022-03-03,8:00,4197,3619,42069,5728,28856,22,23,33,26,51
2022-03-03,10:00,4666,3505,30849,5670,27705,26,31,27,25,41
2022-03-03,12:00,4065,3774,35390,4958,26517,30,29,26,25,44
2022-03-03,14:00,3239,3081,66905,5712,21220,35,30,29,21,32
2022-03-03,16:00,3502,3298,62489,3240,22506,26,26,26,45,42
2022-03-03,18:00,4904,3093,37823,4345,24325,25,27,26,41,50
2022-03-04,8:00,3374,3086,37207,5541,27009,31,24,28,20,37
2022-03-04,10:00,3798,3391,37540,3799,29383,24,26,26,24,34
2022-03-04,12:00,4755,2824,44364,5224,25479,35,24,25,30,34
2022-03-04,14:00,4684,3478,32611,5788,28242,23,32,31,29,39
2022-03-04,16:00,3820,3613,62839,5994,29340,24,25,23,37,50
2022-03-04,18:00,4816,3714,68527,5746,29090,35,29,30,45,35
2022-03-05,8:00,3843,3781,33878,5815,28401,25,27,23,20,53
2022-03-05,10:00,4435,3766,44347,5950,21436,31,30,31,24,32
2022-03-05,12:00,3879,3717,28851,4979,27887,31,22,25,26,45
2022-03-05,14:00,4963,2643,34833,5581,25168,28,22,34,27,45
